Difficulty,Title,Link,Topics
MEDIUM,3Sum,https://leetcode.com/problems/3sum,"Array, Two Pointers, Sorting"
EASY,Find the Child Who Has the Ball After K Seconds,https://leetcode.com/problems/find-the-child-who-has-the-ball-after-k-seconds,"Math, Simulation"
EASY,Best Time to Buy and Sell Stock,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
MEDIUM,Capacity To Ship Packages Within D Days,https://leetcode.com/problems/capacity-to-ship-packages-within-d-days,"Array, Binary Search"
MEDIUM,Longest Substring Without Repeating Characters,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
MEDIUM,Unique Paths II,https://leetcode.com/problems/unique-paths-ii,"Array, Dynamic Programming, Matrix"
EASY,Minimum Absolute Difference,https://leetcode.com/problems/minimum-absolute-difference,"Array, Sorting"
MEDIUM,Daily Temperatures,https://leetcode.com/problems/daily-temperatures,"Array, Stack, Monotonic Stack"
MEDIUM,House Robber,https://leetcode.com/problems/house-robber,"Array, Dynamic Programming"
HARD,Minimum Window Substring,https://leetcode.com/problems/minimum-window-substring,"Hash Table, String, Sliding Window"
MEDIUM,Coin Change,https://leetcode.com/problems/coin-change,"Array, Dynamic Programming, Breadth-First Search"
MEDIUM,Triangle,https://leetcode.com/problems/triangle,"Array, Dynamic Programming"
EASY,Backspace String Compare,https://leetcode.com/problems/backspace-string-compare,"Two Pointers, String, Stack, Simulation"
MEDIUM,Brick Wall,https://leetcode.com/problems/brick-wall,"Array, Hash Table"
EASY,Find Pivot Index,https://leetcode.com/problems/find-pivot-index,"Array, Prefix Sum"
MEDIUM,Integer to Roman,https://leetcode.com/problems/integer-to-roman,"Hash Table, Math, String"
EASY,Two Sum,https://leetcode.com/problems/two-sum,"Array, Hash Table"
MEDIUM,Insert Delete GetRandom O(1),https://leetcode.com/problems/insert-delete-getrandom-o1,"Array, Hash Table, Math, Design, Randomized"
MEDIUM,Subarray Product Less Than K,https://leetcode.com/problems/subarray-product-less-than-k,"Array, Binary Search, Sliding Window, Prefix Sum"
EASY,Merge Sorted Array,https://leetcode.com/problems/merge-sorted-array,"Array, Two Pointers, Sorting"
MEDIUM,Merge Intervals,https://leetcode.com/problems/merge-intervals,"Array, Sorting"
MEDIUM,Best Time to Buy and Sell Stock II,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-ii,"Array, Dynamic Programming, Greedy"
EASY,Squares of a Sorted Array,https://leetcode.com/problems/squares-of-a-sorted-array,"Array, Two Pointers, Sorting"
MEDIUM,Find the Smallest Divisor Given a Threshold,https://leetcode.com/problems/find-the-smallest-divisor-given-a-threshold,"Array, Binary Search"
EASY,Next Greater Element I,https://leetcode.com/problems/next-greater-element-i,"Array, Hash Table, Stack, Monotonic Stack"
MEDIUM,Reverse Substrings Between Each Pair of Parentheses,https://leetcode.com/problems/reverse-substrings-between-each-pair-of-parentheses,"String, Stack"
MEDIUM,Permutation in String,https://leetcode.com/problems/permutation-in-string,"Hash Table, Two Pointers, String, Sliding Window"
MEDIUM,Longest Palindromic Substring,https://leetcode.com/problems/longest-palindromic-substring,"Two Pointers, String, Dynamic Programming"
MEDIUM,Decode String,https://leetcode.com/problems/decode-string,"String, Stack, Recursion"
MEDIUM,Lexicographically Smallest String After Substring Operation,https://leetcode.com/problems/lexicographically-smallest-string-after-substring-operation,"String, Greedy"
MEDIUM,Jump Game II,https://leetcode.com/problems/jump-game-ii,"Array, Dynamic Programming, Greedy"
EASY,Move Zeroes,https://leetcode.com/problems/move-zeroes,"Array, Two Pointers"
EASY,Sort Array by Increasing Frequency,https://leetcode.com/problems/sort-array-by-increasing-frequency,"Array, Hash Table, Sorting"
EASY,Can Place Flowers,https://leetcode.com/problems/can-place-flowers,"Array, Greedy"
HARD,Find Median from Data Stream,https://leetcode.com/problems/find-median-from-data-stream,"Two Pointers, Design, Sorting, Heap (Priority Queue), Data Stream"
MEDIUM,Kth Smallest Element in a BST,https://leetcode.com/problems/kth-smallest-element-in-a-bst,"Tree, Depth-First Search, Binary Search Tree, Binary Tree"
EASY,Plus One,https://leetcode.com/problems/plus-one,"Array, Math"
MEDIUM,Group Anagrams,https://leetcode.com/problems/group-anagrams,"Array, Hash Table, String, Sorting"
EASY,Valid Parentheses,https://leetcode.com/problems/valid-parentheses,"String, Stack"
MEDIUM,Eliminate Maximum Number of Monsters,https://leetcode.com/problems/eliminate-maximum-number-of-monsters,"Array, Greedy, Sorting"
