Difficulty,Title,Link,Topics
MEDIUM,Minimum Deletions to Make Character Frequencies Unique,https://leetcode.com/problems/minimum-deletions-to-make-character-frequencies-unique,"Hash Table, String, Greedy, Sorting"
HARD,Maximum Equal Frequency,https://leetcode.com/problems/maximum-equal-frequency,"Array, Hash Table"
EASY,Percentage of Letter in String,https://leetcode.com/problems/percentage-of-letter-in-string,String
MEDIUM,Minimum Number of Operations to Make Array XOR Equal to K,https://leetcode.com/problems/minimum-number-of-operations-to-make-array-xor-equal-to-k,"Array, Bit Manipulation"
MEDIUM,Equal Sum Arrays With Minimum Number of Operations,https://leetcode.com/problems/equal-sum-arrays-with-minimum-number-of-operations,"Array, Hash Table, Greedy, Counting"
HARD,Find a Value of a Mysterious Function Closest to Target,https://leetcode.com/problems/find-a-value-of-a-mysterious-function-closest-to-target,"Array, Binary Search, Bit Manipulation, Segment Tree"
MEDIUM,Maximum XOR After Operations ,https://leetcode.com/problems/maximum-xor-after-operations,"Array, Math, Bit Manipulation"
HARD,Divide an Array Into Subarrays With Minimum Cost II,https://leetcode.com/problems/divide-an-array-into-subarrays-with-minimum-cost-ii,"Array, Hash Table, Sliding Window, Heap (Priority Queue)"
EASY,Divide an Array Into Subarrays With Minimum Cost I,https://leetcode.com/problems/divide-an-array-into-subarrays-with-minimum-cost-i,"Array, Sorting, Enumeration"
MEDIUM,Maximize the Topmost Element After K Moves,https://leetcode.com/problems/maximize-the-topmost-element-after-k-moves,"Array, Greedy"
MEDIUM,Ugly Number III,https://leetcode.com/problems/ugly-number-iii,"Math, Binary Search, Combinatorics, Number Theory"
EASY,Two Sum,https://leetcode.com/problems/two-sum,"Array, Hash Table"
MEDIUM,3Sum,https://leetcode.com/problems/3sum,"Array, Two Pointers, Sorting"
EASY,Valid Anagram,https://leetcode.com/problems/valid-anagram,"Hash Table, String, Sorting"
MEDIUM,Minimum Fuel Cost to Report to the Capital,https://leetcode.com/problems/minimum-fuel-cost-to-report-to-the-capital,"Tree, Depth-First Search, Breadth-First Search, Graph"
EASY,Add Digits,https://leetcode.com/problems/add-digits,"Math, Simulation, Number Theory"
EASY,Valid Palindrome,https://leetcode.com/problems/valid-palindrome,"Two Pointers, String"
MEDIUM,Rotate Array,https://leetcode.com/problems/rotate-array,"Array, Math, Two Pointers"
EASY,Best Time to Buy and Sell Stock,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
MEDIUM,Reconstruct a 2-Row Binary Matrix,https://leetcode.com/problems/reconstruct-a-2-row-binary-matrix,"Array, Greedy, Matrix"
HARD,Trapping Rain Water,https://leetcode.com/problems/trapping-rain-water,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
MEDIUM,Longest Substring Without Repeating Characters,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
MEDIUM,Permutations,https://leetcode.com/problems/permutations,"Array, Backtracking"
