Difficulty,Title,Link,Topics
MEDIUM,Number of Islands,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix"
HARD,Maximum Number of Visible Points,https://leetcode.com/problems/maximum-number-of-visible-points,"Array, Math, Geometry, Sliding Window, Sorting"
MEDIUM,Video Stitching,https://leetcode.com/problems/video-stitching,"Array, Dynamic Programming, Greedy"
MEDIUM,Group Anagrams,https://leetcode.com/problems/group-anagrams,"Array, Hash Table, String, Sorting"
MEDIUM,Course Schedule,https://leetcode.com/problems/course-schedule,"Depth-First Search, Breadth-First Search, Graph, Topological Sort"
EASY,Shortest Word Distance,https://leetcode.com/problems/shortest-word-distance,"Array, String"
MEDIUM,Heaters,https://leetcode.com/problems/heaters,"Array, Two Pointers, Binary Search, Sorting"
MEDIUM,Daily Temperatures,https://leetcode.com/problems/daily-temperatures,"Array, Stack, Monotonic Stack"
MEDIUM,Course Schedule II,https://leetcode.com/problems/course-schedule-ii,"Depth-First Search, Breadth-First Search, Graph, Topological Sort"
HARD,Find Median from Data Stream,https://leetcode.com/problems/find-median-from-data-stream,"Two Pointers, Design, Sorting, Heap (Priority Queue), Data Stream"
MEDIUM,Search Suggestions System,https://leetcode.com/problems/search-suggestions-system,"Array, String, Binary Search, Trie, Sorting, Heap (Priority Queue)"
HARD,Making A Large Island,https://leetcode.com/problems/making-a-large-island,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix"
MEDIUM,Merge Intervals,https://leetcode.com/problems/merge-intervals,"Array, Sorting"
MEDIUM,Flatten Binary Tree to Linked List,https://leetcode.com/problems/flatten-binary-tree-to-linked-list,"Linked List, Stack, Tree, Depth-First Search, Binary Tree"
MEDIUM,Shortest Word Distance II,https://leetcode.com/problems/shortest-word-distance-ii,"Array, Hash Table, Two Pointers, String, Design"
MEDIUM,Basic Calculator II,https://leetcode.com/problems/basic-calculator-ii,"Math, String, Stack"
MEDIUM,Flip Equivalent Binary Trees,https://leetcode.com/problems/flip-equivalent-binary-trees,"Tree, Depth-First Search, Binary Tree"
HARD,Merge k Sorted Lists,https://leetcode.com/problems/merge-k-sorted-lists,"Linked List, Divide and Conquer, Heap (Priority Queue), Merge Sort"
EASY,Valid Parentheses,https://leetcode.com/problems/valid-parentheses,"String, Stack"
MEDIUM,Number of Distinct Islands,https://leetcode.com/problems/number-of-distinct-islands,"Hash Table, Depth-First Search, Breadth-First Search, Union Find, Hash Function"
MEDIUM,Rotting Oranges,https://leetcode.com/problems/rotting-oranges,"Array, Breadth-First Search, Matrix"
MEDIUM,Minesweeper,https://leetcode.com/problems/minesweeper,"Array, Depth-First Search, Breadth-First Search, Matrix"
EASY,Move Zeroes,https://leetcode.com/problems/move-zeroes,"Array, Two Pointers"
MEDIUM,Spiral Matrix,https://leetcode.com/problems/spiral-matrix,"Array, Matrix, Simulation"
MEDIUM,Time Based Key-Value Store,https://leetcode.com/problems/time-based-key-value-store,"Hash Table, String, Binary Search, Design"
MEDIUM,Insert into a Sorted Circular Linked List,https://leetcode.com/problems/insert-into-a-sorted-circular-linked-list,Linked List
MEDIUM,Find the Duplicate Number,https://leetcode.com/problems/find-the-duplicate-number,"Array, Two Pointers, Binary Search, Bit Manipulation"
MEDIUM,Snakes and Ladders,https://leetcode.com/problems/snakes-and-ladders,"Array, Breadth-First Search, Matrix"
MEDIUM,Search in Rotated Sorted Array,https://leetcode.com/problems/search-in-rotated-sorted-array,"Array, Binary Search"
MEDIUM,Game of Life,https://leetcode.com/problems/game-of-life,"Array, Matrix, Simulation"
HARD,Basic Calculator,https://leetcode.com/problems/basic-calculator,"Math, String, Stack, Recursion"
HARD,Race Car,https://leetcode.com/problems/race-car,Dynamic Programming
