Difficulty,Title,Link,Topics
MEDIUM,Rotating the Box,https://leetcode.com/problems/rotating-the-box,"Array, Two Pointers, Matrix"
EASY,Available Captures for Rook,https://leetcode.com/problems/available-captures-for-rook,"Array, Matrix, Simulation"
MEDIUM,Squirrel Simulation,https://leetcode.com/problems/squirrel-simulation,"Array, Math"
MEDIUM,Walking Robot Simulation II,https://leetcode.com/problems/walking-robot-simulation-ii,"Design, Simulation"
MEDIUM,Word Break,https://leetcode.com/problems/word-break,"Array, Hash Table, String, Dynamic Programming, Trie, Memoization"
HARD,Falling Squares,https://leetcode.com/problems/falling-squares,"Array, Segment Tree, Ordered Set"
MEDIUM,Number of Black Blocks,https://leetcode.com/problems/number-of-black-blocks,"Array, Hash Table, Enumeration"
MEDIUM,Count Nice Pairs in an Array,https://leetcode.com/problems/count-nice-pairs-in-an-array,"Array, Hash Table, Math, Counting"
MEDIUM,Pancake Sorting,https://leetcode.com/problems/pancake-sorting,"Array, Two Pointers, Greedy, Sorting"
HARD,Design a Text Editor,https://leetcode.com/problems/design-a-text-editor,"Linked List, String, Stack, Design, Simulation, Doubly-Linked List"
MEDIUM,Implement Trie (Prefix Tree),https://leetcode.com/problems/implement-trie-prefix-tree,"Hash Table, String, Design, Trie"
HARD,Integer to English Words,https://leetcode.com/problems/integer-to-english-words,"Math, String, Recursion"
MEDIUM,The Maze,https://leetcode.com/problems/the-maze,"Array, Depth-First Search, Breadth-First Search, Matrix"
HARD,Word Search II,https://leetcode.com/problems/word-search-ii,"Array, String, Backtracking, Trie, Matrix"
