Difficulty,Title,Link,Topics
EASY,Two Sum,https://leetcode.com/problems/two-sum,"Array, Hash Table"
MEDIUM,Merge Intervals,https://leetcode.com/problems/merge-intervals,"Array, Sorting"
MEDIUM,Add Two Numbers,https://leetcode.com/problems/add-two-numbers,"Linked List, Math, Recursion"
MEDIUM,Longest Substring Without Repeating Characters,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
EASY,Valid Parentheses,https://leetcode.com/problems/valid-parentheses,"String, Stack"
EASY,Merge Sorted Array,https://leetcode.com/problems/merge-sorted-array,"Array, Two Pointers, Sorting"
HARD,Trapping Rain Water,https://leetcode.com/problems/trapping-rain-water,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
MEDIUM,3Sum,https://leetcode.com/problems/3sum,"Array, Two Pointers, Sorting"
HARD,Median of Two Sorted Arrays,https://leetcode.com/problems/median-of-two-sorted-arrays,"Array, Binary Search, Divide and Conquer"
MEDIUM,Longest Palindromic Substring,https://leetcode.com/problems/longest-palindromic-substring,"Two Pointers, String, Dynamic Programming"
MEDIUM,Maximum Subarray,https://leetcode.com/problems/maximum-subarray,"Array, Divide and Conquer, Dynamic Programming"
EASY,Remove Duplicates from Sorted Array,https://leetcode.com/problems/remove-duplicates-from-sorted-array,"Array, Two Pointers"
EASY,Longest Common Prefix,https://leetcode.com/problems/longest-common-prefix,"String, Trie"
EASY,Palindrome Number,https://leetcode.com/problems/palindrome-number,Math
MEDIUM,Word Search,https://leetcode.com/problems/word-search,"Array, String, Backtracking, Depth-First Search, Matrix"
EASY,Roman to Integer,https://leetcode.com/problems/roman-to-integer,"Hash Table, Math, String"
MEDIUM,Reverse Integer,https://leetcode.com/problems/reverse-integer,Math
MEDIUM,Container With Most Water,https://leetcode.com/problems/container-with-most-water,"Array, Two Pointers, Greedy"
MEDIUM,Search in Rotated Sorted Array,https://leetcode.com/problems/search-in-rotated-sorted-array,"Array, Binary Search"
MEDIUM,Subsets,https://leetcode.com/problems/subsets,"Array, Backtracking, Bit Manipulation"
EASY,Merge Two Sorted Lists,https://leetcode.com/problems/merge-two-sorted-lists,"Linked List, Recursion"
MEDIUM,Next Permutation,https://leetcode.com/problems/next-permutation,"Array, Two Pointers"
MEDIUM,Validate Binary Search Tree,https://leetcode.com/problems/validate-binary-search-tree,"Tree, Depth-First Search, Binary Search Tree, Binary Tree"
MEDIUM,Generate Parentheses,https://leetcode.com/problems/generate-parentheses,"String, Dynamic Programming, Backtracking"
MEDIUM,Group Anagrams,https://leetcode.com/problems/group-anagrams,"Array, Hash Table, String, Sorting"
MEDIUM,Rotate Image,https://leetcode.com/problems/rotate-image,"Array, Math, Matrix"
MEDIUM,"Pow(x, n)",https://leetcode.com/problems/powx-n,"Math, Recursion"
EASY,Climbing Stairs,https://leetcode.com/problems/climbing-stairs,"Math, Dynamic Programming, Memoization"
EASY,Remove Element,https://leetcode.com/problems/remove-element,"Array, Two Pointers"
MEDIUM,Jump Game,https://leetcode.com/problems/jump-game,"Array, Dynamic Programming, Greedy"
EASY,Sqrt(x),https://leetcode.com/problems/sqrtx,"Math, Binary Search"
MEDIUM,Binary Tree Level Order Traversal,https://leetcode.com/problems/binary-tree-level-order-traversal,"Tree, Breadth-First Search, Binary Tree"
HARD,Merge k Sorted Lists,https://leetcode.com/problems/merge-k-sorted-lists,"Linked List, Divide and Conquer, Heap (Priority Queue), Merge Sort"
EASY,Find the Index of the First Occurrence in a String,https://leetcode.com/problems/find-the-index-of-the-first-occurrence-in-a-string,"Two Pointers, String, String Matching"
MEDIUM,Unique Paths,https://leetcode.com/problems/unique-paths,"Math, Dynamic Programming, Combinatorics"
MEDIUM,Find First and Last Position of Element in Sorted Array,https://leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array,"Array, Binary Search"
MEDIUM,Spiral Matrix,https://leetcode.com/problems/spiral-matrix,"Array, Matrix, Simulation"
MEDIUM,Set Matrix Zeroes,https://leetcode.com/problems/set-matrix-zeroes,"Array, Hash Table, Matrix"
MEDIUM,4Sum,https://leetcode.com/problems/4sum,"Array, Two Pointers, Sorting"
MEDIUM,String to Integer (atoi),https://leetcode.com/problems/string-to-integer-atoi,String
MEDIUM,Swap Nodes in Pairs,https://leetcode.com/problems/swap-nodes-in-pairs,"Linked List, Recursion"
MEDIUM,3Sum Closest,https://leetcode.com/problems/3sum-closest,"Array, Two Pointers, Sorting"
EASY,Search Insert Position,https://leetcode.com/problems/search-insert-position,"Array, Binary Search"
MEDIUM,Binary Tree Zigzag Level Order Traversal,https://leetcode.com/problems/binary-tree-zigzag-level-order-traversal,"Tree, Breadth-First Search, Binary Tree"
MEDIUM,Jump Game II,https://leetcode.com/problems/jump-game-ii,"Array, Dynamic Programming, Greedy"
MEDIUM,Permutations,https://leetcode.com/problems/permutations,"Array, Backtracking"
MEDIUM,Search a 2D Matrix,https://leetcode.com/problems/search-a-2d-matrix,"Array, Binary Search, Matrix"
MEDIUM,Sort Colors,https://leetcode.com/problems/sort-colors,"Array, Two Pointers, Sorting"
MEDIUM,Construct Binary Tree from Preorder and Inorder Traversal,https://leetcode.com/problems/construct-binary-tree-from-preorder-and-inorder-traversal,"Array, Hash Table, Divide and Conquer, Tree, Binary Tree"
MEDIUM,Combination Sum,https://leetcode.com/problems/combination-sum,"Array, Backtracking"
HARD,Reverse Nodes in k-Group,https://leetcode.com/problems/reverse-nodes-in-k-group,"Linked List, Recursion"
EASY,Add Binary,https://leetcode.com/problems/add-binary,"Math, String, Bit Manipulation, Simulation"
HARD,Regular Expression Matching,https://leetcode.com/problems/regular-expression-matching,"String, Dynamic Programming, Recursion"
EASY,Same Tree,https://leetcode.com/problems/same-tree,"Tree, Depth-First Search, Breadth-First Search, Binary Tree"
MEDIUM,Letter Combinations of a Phone Number,https://leetcode.com/problems/letter-combinations-of-a-phone-number,"Hash Table, String, Backtracking"
EASY,Symmetric Tree,https://leetcode.com/problems/symmetric-tree,"Tree, Depth-First Search, Breadth-First Search, Binary Tree"
MEDIUM,Zigzag Conversion,https://leetcode.com/problems/zigzag-conversion,String
EASY,Maximum Depth of Binary Tree,https://leetcode.com/problems/maximum-depth-of-binary-tree,"Tree, Depth-First Search, Breadth-First Search, Binary Tree"
MEDIUM,Valid Sudoku,https://leetcode.com/problems/valid-sudoku,"Array, Hash Table, Matrix"
EASY,Plus One,https://leetcode.com/problems/plus-one,"Array, Math"
MEDIUM,Remove Nth Node From End of List,https://leetcode.com/problems/remove-nth-node-from-end-of-list,"Linked List, Two Pointers"
HARD,Largest Rectangle in Histogram,https://leetcode.com/problems/largest-rectangle-in-histogram,"Array, Stack, Monotonic Stack"
EASY,Remove Duplicates from Sorted List,https://leetcode.com/problems/remove-duplicates-from-sorted-list,Linked List
MEDIUM,Rotate List,https://leetcode.com/problems/rotate-list,"Linked List, Two Pointers"
MEDIUM,Combination Sum II,https://leetcode.com/problems/combination-sum-ii,"Array, Backtracking"
HARD,Sudoku Solver,https://leetcode.com/problems/sudoku-solver,"Array, Hash Table, Backtracking, Matrix"
HARD,First Missing Positive,https://leetcode.com/problems/first-missing-positive,"Array, Hash Table"
MEDIUM,Remove Duplicates from Sorted Array II,https://leetcode.com/problems/remove-duplicates-from-sorted-array-ii,"Array, Two Pointers"
MEDIUM,Divide Two Integers,https://leetcode.com/problems/divide-two-integers,"Math, Bit Manipulation"
MEDIUM,Integer to Roman,https://leetcode.com/problems/integer-to-roman,"Hash Table, Math, String"
MEDIUM,Unique Paths II,https://leetcode.com/problems/unique-paths-ii,"Array, Dynamic Programming, Matrix"
EASY,Length of Last Word,https://leetcode.com/problems/length-of-last-word,String
MEDIUM,Subsets II,https://leetcode.com/problems/subsets-ii,"Array, Backtracking, Bit Manipulation"
HARD,Wildcard Matching,https://leetcode.com/problems/wildcard-matching,"String, Dynamic Programming, Greedy, Recursion"
MEDIUM,Edit Distance,https://leetcode.com/problems/edit-distance,"String, Dynamic Programming"
HARD,N-Queens,https://leetcode.com/problems/n-queens,"Array, Backtracking"
MEDIUM,Reverse Linked List II,https://leetcode.com/problems/reverse-linked-list-ii,Linked List
MEDIUM,Remove Duplicates from Sorted List II,https://leetcode.com/problems/remove-duplicates-from-sorted-list-ii,"Linked List, Two Pointers"
HARD,Longest Valid Parentheses,https://leetcode.com/problems/longest-valid-parentheses,"String, Dynamic Programming, Stack"
MEDIUM,Simplify Path,https://leetcode.com/problems/simplify-path,"String, Stack"
MEDIUM,Insert Interval,https://leetcode.com/problems/insert-interval,Array
MEDIUM,Partition List,https://leetcode.com/problems/partition-list,"Linked List, Two Pointers"
MEDIUM,Permutations II,https://leetcode.com/problems/permutations-ii,"Array, Backtracking, Sorting"
MEDIUM,Multiply Strings,https://leetcode.com/problems/multiply-strings,"Math, String, Simulation"
HARD,Minimum Window Substring,https://leetcode.com/problems/minimum-window-substring,"Hash Table, String, Sliding Window"
HARD,Maximal Rectangle,https://leetcode.com/problems/maximal-rectangle,"Array, Dynamic Programming, Stack, Matrix, Monotonic Stack"
EASY,Binary Tree Inorder Traversal,https://leetcode.com/problems/binary-tree-inorder-traversal,"Stack, Tree, Depth-First Search, Binary Tree"
HARD,Text Justification,https://leetcode.com/problems/text-justification,"Array, String, Simulation"
MEDIUM,Search in Rotated Sorted Array II,https://leetcode.com/problems/search-in-rotated-sorted-array-ii,"Array, Binary Search"
MEDIUM,Count and Say,https://leetcode.com/problems/count-and-say,String
MEDIUM,Minimum Path Sum,https://leetcode.com/problems/minimum-path-sum,"Array, Dynamic Programming, Matrix"
MEDIUM,Recover Binary Search Tree,https://leetcode.com/problems/recover-binary-search-tree,"Tree, Depth-First Search, Binary Search Tree, Binary Tree"
MEDIUM,Combinations,https://leetcode.com/problems/combinations,Backtracking
HARD,Substring with Concatenation of All Words,https://leetcode.com/problems/substring-with-concatenation-of-all-words,"Hash Table, String, Sliding Window"
MEDIUM,Decode Ways,https://leetcode.com/problems/decode-ways,"String, Dynamic Programming"
MEDIUM,Unique Binary Search Trees II,https://leetcode.com/problems/unique-binary-search-trees-ii,"Dynamic Programming, Backtracking, Tree, Binary Search Tree, Binary Tree"
HARD,N-Queens II,https://leetcode.com/problems/n-queens-ii,Backtracking
MEDIUM,Unique Binary Search Trees,https://leetcode.com/problems/unique-binary-search-trees,"Math, Dynamic Programming, Tree, Binary Search Tree, Binary Tree"
MEDIUM,Gray Code,https://leetcode.com/problems/gray-code,"Math, Backtracking, Bit Manipulation"
MEDIUM,Spiral Matrix II,https://leetcode.com/problems/spiral-matrix-ii,"Array, Matrix, Simulation"
